subject_id;image_name;origin;link;attribution;license
1;Area_0_0.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.9683842727&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
2;Area_0_1.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.9599268182&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
3;Area_0_2.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.9514693636&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
4;Area_0_3.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.9430119091&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
5;Area_0_4.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.9345544545&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
6;Area_0_5.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.926097&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
7;Area_0_6.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.9176395455&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
8;Area_0_7.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.9091820909&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
9;Area_0_8.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.9007246364&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
10;Area_0_9.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.8922671818&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
11;Area_0_10.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9170910909,75.8838097273&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
12;Area_1_0.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.9683842727&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
13;Area_1_1.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.9599268182&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
14;Area_1_2.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.9514693636&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
15;Area_1_3.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.9430119091&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
16;Area_1_4.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.9345544545&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
17;Area_1_5.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.926097&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
18;Area_1_6.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.9176395455&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
19;Area_1_7.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.9091820909&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
20;Area_1_8.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.9007246364&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
21;Area_1_9.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.8922671818&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
22;Area_1_10.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9128612727,75.8838097273&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
23;Area_2_0.jpg;GoogleMapsAPI;https://maps.googleapis.com/maps/api/staticmap?center=26.9086314545,75.9683842727&zoom=16&size=800x400&scale=2&maptype=satellite&format=jpg&key=AIzaSyBBW23KLCKQ7tTUaCZ7Eu-7CZLLfcj5wnw;FLOLT;Creative Commons - share adapt attribute
